Institution ID,MAE,RMSE
09415354-4eb1-4866-87bb-efffe23e196a,2.911506468499702,4.403444928123337
097d4418-6d7c-4922-a703-bde5a6b64919,6.74777391224849,9.032735514837515
0da8e9a5-855d-42c5-9435-d69e1019cafc,1.8703257317376778,2.3267553054359986
0fa2e546-c292-4060-a05e-beb53fc31e72,2.917433823839052,3.6186307705449807
18cb6e95-6073-4102-989e-1b133ac99b29,5.13306073123244,6.61536122242261
19adebda-8361-4267-8ab0-7fe734377602,2.0597182001063277,3.3552062860164367
19ae2f00-60e7-4db1-8719-644820cc04df,4.575017486671553,6.046701091163641
1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.100789520027586,1.4180223551471085
23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.5243656154965548,0.6413031953548797
2fa0d571-e424-4ee7-ac8b-deb7792305a7,5.0957363423244715,6.647599326614834
